Country,CCPI
Hungary,87.6
Indonesia,73.1
Ireland,95.1
Iraq,85.7
Iceland,86.0
Israel,93.8
Italy,93.7
Jordan,77.0
Japan,98.6
"Korea, Rep.",90.7
Sri Lanka,66.5
Lithuania,93.7
Luxembourg,90.9
Latvia,96.2
Mexico,86.8
Nepal,72.0
"Moldova, Rep.",100.0
North Macedonia,93.6
Malta,93.8
Mauritius,82.1
Malaysia,99.7
Nigeria,107.7
Netherlands,91.4
Norway,91.6
Peru,70.5
Philippines,80.9
Poland,93.6
Portugal,95.1
Paraguay,71.1
Romania,86.6
Russian Federation,66.1
Singapore,87.0
El Salvador,100.4
Serbia,74.2
Slovakia,92.8
Slovenia,97.9
Sweden,96.4
Thailand,94.5
Trinidad and Tobago,91.3
Turkey,70.5
"Taiwan, China",93.7
Uganda,60.6
Uganda,60.7
Ukraine,99.2
United States,91.3
South Africa,79.0
Albania,90.5
Austria,90.1
Belgium,92.2
Bulgaria,97.9
Belarus,99.9
Brazil,5661733.9
Canada,92.6
Switzerland,101.1
Chile,88.4
China,85.0
Colombia,86.0
Costa Rica,81.0
Cyprus,95.7
Czech Republic,96.9
Germany,94.1
Denmark,93.0
Dominican Republic,73.7
"Egypt, Arab Rep.",40.1
Spain,95.6
Estonia,92.2
Finland,92.3
France,95.3
United Kingdom,90.8
Greece,102.4
Guatemala,98.8
"Hong Kong SAR, China",73.4
Honduras,217.3
Croatia,94.2
Hungary,87.7
Indonesia,73.3
Ireland,95.1
Iraq,85.6
Iceland,85.3
Israel,94.2
Italy,94.1
Jordan,76.9
Japan,98.2
"Korea, Rep.",90.9
Sri Lanka,67.2
Lithuania,93.3
Luxembourg,90.5
Latvia,95.8
Mexico,87.0
Nepal,70.6
"Moldova, Rep.",99.4
North Macedonia,93.8
Malta,94.3
Mauritius,82.5
Malaysia,99.9
Nigeria,108.4
Netherlands,90.9
Norway,91.1
Peru,70.6
Philippines,81.2
Poland,93.7
Portugal,95.3
Paraguay,71.8
Romania,88.9
Russian Federation,66.4
Singapore,87.3
El Salvador,100.5
Serbia,74.7
Slovakia,92.9
Slovenia,96.5
Sweden,96.2
Thailand,94.6
Trinidad and Tobago,91.3
Turkey,70.1
"Taiwan, China",93.8
Uganda,60.9
Uganda,60.8
Ukraine,99.7
United States,91.3
South Africa,79.2
Albania,91.0
Austria,90.3
Belgium,92.3
Bulgaria,98.1
Belarus,100.0
Brazil,5679856.3
Canada,92.6
Switzerland,101.1
Chile,87.9
China,85.0
Colombia,86.1
Costa Rica,81.1
Cyprus,96.0
Czech Republic,96.8
Germany,94.3
Denmark,93.4
Dominican Republic,73.9
"Egypt, Arab Rep.",41.1
Spain,95.8
Estonia,92.5
Finland,92.9
France,95.8
United Kingdom,91.3
Greece,101.3
Guatemala,99.0
"Hong Kong SAR, China",75.3
Honduras,217.8
Croatia,94.1
Hungary,87.8
Indonesia,73.6
Ireland,96.0
Iraq,86.0
Iceland,85.4
Israel,94.8
Italy,94.4
Jordan,77.1
Japan,98.2
"Korea, Rep.",91.1
Sri Lanka,68.3
Lithuania,93.1
Luxembourg,91.7
Latvia,95.5
Mexico,87.1
Nepal,75.1
"Moldova, Rep.",98.5
North Macedonia,93.9
Malta,95.1
Mauritius,82.9
Malaysia,100.1
Nigeria,110.0
Netherlands,91.1
Norway,91.0
Peru,70.8
Philippines,81.7
Poland,93.6
Portugal,94.9
Paraguay,72.3
Romania,89.1
Russian Federation,66.9
Singapore,87.5
El Salvador,100.6
Serbia,75.7
Slovakia,93.0
Slovenia,97.1
Sweden,96.2
Thailand,94.6
Trinidad and Tobago,91.5
Turkey,69.7
"Taiwan, China",93.7
Uganda,60.8
Uganda,60.8
Ukraine,100.4
United States,91.5
South Africa,79.3
Albania,91.6
Austria,90.6
Belgium,92.4
Bulgaria,98.0
Belarus,100.8
Brazil,5704458.3
Canada,92.9
Switzerland,101.1
Chile,88.2
China,85.0
Colombia,86.2
Costa Rica,81.3
Cyprus,96.8
Czech Republic,96.5
Germany,94.1
Denmark,93.8
Dominican Republic,74.3
"Egypt, Arab Rep.",41.1
Spain,95.9
Estonia,93.2
Finland,93.3
France,95.6
United Kingdom,91.3
Greece,103.8
Guatemala,99.3
"Hong Kong SAR, China",75.4
Honduras,218.6
Croatia,93.8
Hungary,87.7
Indonesia,73.8
Ireland,95.8
Iraq,86.8
Iceland,85.5
Israel,94.6
Italy,94.1
Jordan,77.4
Japan,98.2
"Korea, Rep.",91.2
Sri Lanka,69.0
Lithuania,93.6
Luxembourg,91.7
Latvia,96.1
Mexico,87.4
Nepal,74.1
"Moldova, Rep.",99.3
North Macedonia,94.1
Malta,94.1
Mauritius,83.2
Malaysia,100.2
Nigeria,111.2
Netherlands,91.8
Norway,91.6
Peru,70.9
Philippines,81.7
Poland,93.8
Portugal,95.2
Paraguay,72.9
Romania,89.6
Russian Federation,67.5
Singapore,87.6
El Salvador,100.8
Serbia,77.0
Slovakia,93.0
Slovenia,96.6
Sweden,97.2
Thailand,94.7
Trinidad and Tobago,91.6
Turkey,69.6
"Taiwan, China",93.9
Uganda,60.8
Uganda,61.0
Ukraine,101.6
United States,91.6
South Africa,79.4
Albania,91.8
Austria,90.9
Belgium,92.5
Bulgaria,98.1
Belarus,101.5
Brazil,5732546.8
Canada,93.3
Switzerland,101.8
Chile,88.0
China,85.3
Colombia,86.2
Costa Rica,81.6
Cyprus,97.6
Czech Republic,96.3
Germany,94.2
Denmark,93.7
Dominican Republic,74.8
"Egypt, Arab Rep.",41.5
Spain,96.9
Estonia,93.3
Finland,93.6
France,95.6
United Kingdom,91.4
Greece,104.1
Guatemala,99.7
"Hong Kong SAR, China",76.1
Honduras,219.4
Croatia,94.0
Hungary,87.8
Indonesia,74.1
Ireland,95.8
Iraq,87.8
Iceland,85.9
Israel,94.6
Italy,94.3
Jordan,77.9
Japan,98.6
"Korea, Rep.",91.2
Sri Lanka,70.1
Lithuania,93.7
Luxembourg,91.8
Latvia,96.3
Mexico,87.7
Nepal,73.4
"Moldova, Rep.",100.8
North Macedonia,94.4
Malta,93.5
Mauritius,83.5
Malaysia,100.5
Nigeria,112.1
Netherlands,91.9
Norway,91.7
Peru,71.1
Philippines,81.5
Poland,94.0
Portugal,95.7
Paraguay,73.8
Romania,90.0
Russian Federation,68.0
Singapore,87.5
El Salvador,100.9
Serbia,77.8
Slovakia,93.1
Slovenia,96.7
Sweden,97.5
Thailand,94.7
Trinidad and Tobago,91.9
Turkey,70.2
"Taiwan, China",93.7
"Tanzania, United Rep.",3.5
Uganda,60.2
Uganda,60.2
Ukraine,102.4
United States,91.7
South Africa,79.5
Albania,92.0
Austria,90.7
Belgium,92.5
Bulgaria,98.4
Belarus,102.5
Brazil,5762545.5
Canada,93.3
Switzerland,102.0
Chile,87.8
China,85.6
Colombia,86.3
Costa Rica,81.8
Cyprus,97.3
Czech Republic,96.2
Germany,94.1
Denmark,93.7
Dominican Republic,75.0
"Egypt, Arab Rep.",42.0
Spain,97.5
Estonia,92.8
Finland,93.7
France,95.6
United Kingdom,91.6
Greece,104.2
Guatemala,99.8
"Hong Kong SAR, China",76.3
Honduras,220.2
Croatia,94.4
Hungary,87.8
Indonesia,74.5
Ireland,95.6
Iraq,88.2
Iceland,85.7
Israel,94.8
Italy,94.3
Jordan,78.5
Japan,98.3
"Korea, Rep.",91.2
Sri Lanka,70.1
Lithuania,93.6
Luxembourg,91.9
Latvia,96.1
Mexico,87.9
Nepal,73.4
"Moldova, Rep.",101.4
North Macedonia,94.7
Malta,91.7
Mauritius,83.6
Malaysia,100.5
Nigeria,112.4
Netherlands,91.7
Norway,91.7
Peru,71.1
Philippines,82.1
Poland,94.0
Portugal,95.9
Paraguay,74.4
Romania,90.3
Russian Federation,68.5
Singapore,87.7
El Salvador,101.0
Serbia,78.5
Slovakia,93.1
Slovenia,96.9
Sweden,97.6
Thailand,94.8
Trinidad and Tobago,92.2
Turkey,70.7
"Taiwan, China",94.0
"Tanzania, United Rep.",3.7
Uganda,60.7
Uganda,60.7
Ukraine,103.1
United States,91.7
South Africa,79.6
Albania,92.5
Austria,91.0
Belgium,92.6
Bulgaria,99.0
Belarus,103.7
Brazil,5796056.3
Canada,92.9
Switzerland,102.1
Chile,87.9
China,85.9
Colombia,86.5
Costa Rica,82.0
Cyprus,97.1
Czech Republic,96.2
Germany,94.4
Denmark,93.6
Dominican Republic,75.3
"Egypt, Arab Rep.",42.3
Spain,97.5
Estonia,92.9
Finland,93.7
France,95.9
United Kingdom,92.1
Greece,104.3
Guatemala,100.3
"Hong Kong SAR, China",76.8
Honduras,221.5
Croatia,93.6
Hungary,87.8
Indonesia,74.7
Ireland,95.4
Iraq,88.3
Iceland,85.8
Israel,95.2
Italy,94.5
Jordan,79.2
Japan,98.3
"Korea, Rep.",91.5
Sri Lanka,70.6
Lithuania,93.5
Luxembourg,91.9
Latvia,95.3
Mexico,88.3
Nepal,74.0
"Moldova, Rep.",102.7
North Macedonia,95.0
Malta,92.0
Mauritius,84.7
Malaysia,100.8
Nigeria,113.0
Netherlands,91.2
Norway,91.9
Peru,71.3
Philippines,82.3
Poland,94.1
Portugal,95.9
Paraguay,75.2
Romania,90.6
Russian Federation,69.0
Singapore,87.8
El Salvador,101.3
Serbia,79.2
Slovakia,93.1
Slovenia,96.8
Sweden,97.8
Thailand,94.9
Trinidad and Tobago,92.2
Turkey,70.8
"Taiwan, China",94.1
"Tanzania, United Rep.",3.7
Uganda,61.7
Uganda,61.8
Ukraine,103.8
United States,91.6
South Africa,79.6
Albania,92.8
Austria,90.4
Belgium,93.0
Bulgaria,99.3
Belarus,105.4
Brazil,5830801.3
Canada,92.9
Switzerland,101.5
Chile,88.0
China,86.1
Colombia,87.1
Costa Rica,82.3
Cyprus,96.1
Czech Republic,96.4
Germany,93.8
Denmark,93.4
Dominican Republic,75.8
"Egypt, Arab Rep.",42.5
Spain,95.7
Estonia,92.7
Finland,93.6
France,95.3
United Kingdom,91.9
Greece,102.8
Guatemala,101.1
"Hong Kong SAR, China",77.0
Honduras,222.7
Croatia,93.5
Hungary,87.8
Indonesia,75.0
India,87.1
Ireland,94.9
Iraq,94.2
Iceland,84.3
Israel,95.1
Italy,94.6
Jordan,79.7
Japan,97.8
"Korea, Rep.",91.9
"Lao, PDR",85.8
Sri Lanka,70.4
Lithuania,93.1
Luxembourg,91.0
Latvia,95.6
Mexico,88.7
Nepal,73.6
"Moldova, Rep.",103.9
North Macedonia,95.5
Malta,90.2
Mauritius,84.9
Malaysia,101.0
Nigeria,113.5
Nicaragua,135.1
Netherlands,91.1
Norway,91.3
Peru,71.5
Philippines,82.6
Poland,94.4
Portugal,96.1
Paraguay,75.7
Romania,90.9
Russian Federation,69.6
Singapore,87.6
El Salvador,101.8
Serbia,80.5
Slovakia,93.7
Slovenia,94.7
Sweden,97.2
Thailand,94.8
Trinidad and Tobago,92.3
Turkey,70.7
"Taiwan, China",93.7
"Tanzania, United Rep.",4.4
Uganda,62.3
Uganda,62.3
Ukraine,104.1
United States,91.7
South Africa,79.7
Albania,93.4
Austria,91.1
Belgium,93.3
Bulgaria,99.5
Belarus,108.2
Brazil,5870977.9
Canada,93.1
Switzerland,101.8
Chile,88.3
China,86.2
Colombia,87.6
Costa Rica,82.5
Cyprus,96.1
Czech Republic,96.4
Germany,94.3
Denmark,94.6
Dominican Republic,76.3
"Egypt, Arab Rep.",42.6
Spain,95.7
Estonia,92.9
Finland,93.9
France,95.7
United Kingdom,92.4
Greece,100.6
Guatemala,101.6
"Hong Kong SAR, China",77.6
Honduras,223.7
Croatia,93.8
Hungary,87.9
Indonesia,75.3
India,87.9
Ireland,95.8
Iraq,90.5
Iceland,85.3
Israel,95.2
Italy,94.8
Jordan,79.6
Japan,97.7
"Korea, Rep.",92.3
"Lao, PDR",86.3
Sri Lanka,70.8
Lithuania,92.6
Luxembourg,92.7
Latvia,95.4
Mexico,89.0
Nepal,73.7
"Moldova, Rep.",105.2
North Macedonia,95.9
Malta,90.1
Mauritius,85.2
Malaysia,101.0
Nigeria,115.7
Nicaragua,136.1
Netherlands,91.7
Norway,91.6
Peru,71.6
Philippines,82.9
Poland,94.5
Portugal,95.9
Paraguay,76.5
Romania,91.4
Russian Federation,70.0
Singapore,88.0
El Salvador,102.0
Serbia,81.4
Slovakia,93.8
Slovenia,94.3
Sweden,97.9
Thailand,94.9
Trinidad and Tobago,92.4
Turkey,70.7
"Taiwan, China",94.6
"Tanzania, United Rep.",5.1
Uganda,63.3
Uganda,63.2
Ukraine,104.6
United States,92.1
South Africa,80.2
Albania,93.7
Austria,92.0
Belgium,93.4
Bulgaria,99.8
Belarus,110.5
Brazil,5916730.2
Canada,93.7
Switzerland,102.3
Chile,88.7
China,86.4
Colombia,87.8
Costa Rica,82.9
Cyprus,97.0
Czech Republic,96.3
Germany,94.6
Denmark,95.1
Dominican Republic,76.7
"Egypt, Arab Rep.",42.3
Spain,96.3
Estonia,93.5
Finland,94.3
France,96.3
United Kingdom,92.7
Greece,104.6
Guatemala,102.0
"Hong Kong SAR, China",77.9
Honduras,225.2
Croatia,94.6
Hungary,88.3
Indonesia,75.5
India,88.6
Ireland,96.6
Iraq,90.1
Iceland,86.0
Israel,95.5
Italy,95.0
Jordan,79.6
Japan,97.8
"Korea, Rep.",92.5
"Lao, PDR",87.3
Sri Lanka,71.2
Lithuania,93.3
Luxembourg,93.0
Latvia,96.0
Mexico,89.2
Nepal,74.1
"Moldova, Rep.",106.1
North Macedonia,96.5
Malta,91.6
Mauritius,85.6
Malaysia,101.3
Nigeria,117.4
Nicaragua,137.0
Netherlands,92.8
Norway,92.1
Peru,71.9
Philippines,83.2
Poland,94.9
Portugal,97.7
Paraguay,77.5
Romania,91.6
Russian Federation,70.4
Singapore,88.2
El Salvador,102.2
Serbia,83.5
Slovakia,94.1
Slovenia,96.4
Sweden,98.5
Thailand,94.9
Trinidad and Tobago,92.7
Turkey,71.1
"Taiwan, China",94.3
"Tanzania, United Rep.",6.3
Uganda,64.6
Uganda,64.6
Ukraine,105.1
United States,92.3
South Africa,81.1
Albania,93.9
Austria,92.4
Belgium,93.3
Bulgaria,99.8
Belarus,116.5
Brazil,5940321.7
Canada,93.4
Switzerland,102.5
Chile,88.6
China,86.5
Colombia,87.9
Costa Rica,83.4
Cyprus,98.4
Czech Republic,96.4
Germany,94.5
Denmark,95.3
Dominican Republic,77.1
"Egypt, Arab Rep.",42.7
Spain,97.7
Estonia,93.7
Finland,94.5
France,96.5
United Kingdom,93.4
Greece,105.1
Guatemala,102.5
"Hong Kong SAR, China",78.5
Honduras,226.8
Croatia,94.9
Hungary,88.7
Indonesia,75.9
India,89.6
Ireland,97.1
"Iran, Islamic Rep.",41.3
Iraq,90.4
Iceland,86.7
Israel,96.0
Italy,95.5
Jordan,80.0
Japan,97.8
"Korea, Rep.",92.7
"Lao, PDR",87.8
Sri Lanka,71.6
Lithuania,93.7
Luxembourg,93.2
Latvia,96.5
Mexico,89.2
Nepal,73.9
"Moldova, Rep.",107.1
North Macedonia,96.8
Malta,93.8
Mauritius,86.2
Malaysia,101.4
Nigeria,117.8
Nicaragua,137.6
Netherlands,93.2
Norway,92.9
Peru,72.1
Philippines,83.5
Poland,95.3
Portugal,98.1
Paraguay,77.6
Romania,91.7
Russian Federation,70.8
Singapore,88.7
El Salvador,102.4
Serbia,83.9
Slovakia,94.4
Slovenia,97.1
Sweden,99.1
Thailand,94.9
Trinidad and Tobago,92.2
Turkey,72.2
"Taiwan, China",94.3
"Tanzania, United Rep.",5.7
Uganda,65.9
Uganda,65.7
Ukraine,105.7
United States,92.5
South Africa,81.2
Albania,93.9
Austria,92.5
Belgium,93.5
Bulgaria,99.8
Belarus,134.5
Brazil,5970232.7
Canada,94.1
Switzerland,102.4
Chile,88.8
China,86.7
Colombia,88.1
Costa Rica,83.5
Cyprus,99.1
Czech Republic,96.6
Germany,94.5
Denmark,95.4
Dominican Republic,77.4
"Egypt, Arab Rep.",43.0
Spain,97.8
Estonia,94.0
Finland,94.7
France,96.6
United Kingdom,93.4
Greece,105.2
Guatemala,103.0
"Hong Kong SAR, China",79.0
Honduras,227.9
Croatia,95.3
Hungary,88.9
Indonesia,76.2
India,90.5
Ireland,97.1
"Iran, Islamic Rep.",42.0
Iraq,90.0
Iceland,87.5
Israel,96.4
Italy,95.4
Jordan,80.3
Japan,98.0
"Korea, Rep.",93.1
"Lao, PDR",88.2
Sri Lanka,72.0
Lithuania,94.2
Luxembourg,93.2
Latvia,96.4
Mexico,89.3
Nepal,75.1
"Moldova, Rep.",107.8
North Macedonia,96.8
Malta,95.0
Mauritius,86.3
Malaysia,101.7
Nigeria,118.6
Nicaragua,139.5
Netherlands,93.2
Norway,92.6
Peru,72.4
Philippines,83.8
Poland,95.6
Portugal,98.0
Paraguay,77.8
Romania,91.9
Russian Federation,71.2
Singapore,88.8
El Salvador,102.6
Serbia,84.2
Slovakia,94.6
Slovenia,97.6
Sweden,99.4
Thailand,95.0
Trinidad and Tobago,92.4
Turkey,73.4
"Taiwan, China",94.4
"Tanzania, United Rep.",7.1
Uganda,67.0
Uganda,66.9
Ukraine,106.4
United States,92.7
South Africa,81.4
Albania,93.9
Austria,92.8
Belgium,93.7
Bulgaria,100.0
Belarus,148.8
Brazil,6005657.3
Canada,93.4
Switzerland,102.2
Chile,88.7
China,86.8
Colombia,88.3
Costa Rica,83.9
Cyprus,99.5
Czech Republic,96.5
Germany,94.7
Denmark,95.1
Dominican Republic,77.8
"Egypt, Arab Rep.",43.3
Spain,97.9
Estonia,94.1
Finland,94.9
France,96.7
United Kingdom,93.3
Greece,105.2
Guatemala,103.3
"Hong Kong SAR, China",79.7
Honduras,229.0
Croatia,95.6
Hungary,88.9
Indonesia,76.5
India,91.2
Ireland,97.2
"Iran, Islamic Rep.",42.7
Iraq,91.2
Iceland,88.0
Israel,97.0
Italy,95.6
Jordan,80.4
Japan,97.8
"Korea, Rep.",93.3
"Lao, PDR",88.3
Sri Lanka,72.2
Lithuania,94.4
Luxembourg,93.3
Latvia,96.6
Mexico,89.4
Nepal,75.1
"Moldova, Rep.",107.9
North Macedonia,96.8
Malta,95.8
Mauritius,86.4
Malaysia,101.9
Nigeria,119.0
Nicaragua,140.5
Netherlands,92.7
Norway,92.5
Peru,72.6
Philippines,84.1
Poland,95.7
Portugal,97.9
Paraguay,77.8
Romania,92.1
Russian Federation,71.6
Singapore,88.9
El Salvador,102.8
Serbia,84.4
Slovakia,94.7
Slovenia,97.6
Sweden,99.3
Thailand,95.0
Trinidad and Tobago,92.5
Turkey,73.9
"Taiwan, China",94.5
"Tanzania, United Rep.",7.2
Uganda,68.1
Uganda,68.1
Ukraine,107.3
United States,92.8
South Africa,81.8
Albania,93.8
Austria,92.4
Belgium,93.9
Bulgaria,100.3
Belarus,155.4
Brazil,6039076.4
Canada,93.5
Switzerland,101.5
Chile,88.8
China,86.8
Colombia,88.4
Costa Rica,84.1
Cyprus,97.6
Czech Republic,96.9
Germany,94.9
Denmark,94.9
Dominican Republic,78.1
"Egypt, Arab Rep.",43.7
Spain,96.7
Estonia,94.4
Finland,94.8
France,96.2
United Kingdom,93.3
Greece,103.3
Guatemala,103.9
"Hong Kong SAR, China",80.9
Honduras,230.2
Croatia,95.6
Hungary,89.0
Indonesia,76.7
India,91.9
Ireland,97.1
"Iran, Islamic Rep.",43.2
Iraq,91.7
Iceland,87.9
Israel,97.0
Italy,96.0
Jordan,80.6
Japan,97.7
"Korea, Rep.",93.4
"Lao, PDR",88.4
Sri Lanka,73.1
Lithuania,93.8
Luxembourg,92.2
Latvia,96.2
Mexico,89.6
Nepal,76.0
"Moldova, Rep.",107.8
North Macedonia,97.0
Malta,95.9
Mauritius,86.5
Malaysia,102.1
Nigeria,119.5
Nicaragua,141.4
Netherlands,93.0
Norway,92.1
Peru,72.9
Philippines,84.2
Poland,95.8
Portugal,97.7
Paraguay,77.8
Romania,92.6
Russian Federation,72.0
Singapore,89.1
El Salvador,103.0
Serbia,84.6
Slovakia,94.9
Slovenia,96.1
Sweden,99.2
Thailand,95.1
Trinidad and Tobago,92.5
Turkey,73.7
